url,written,written_human_readable,origin
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2900/whitej_205/2021-07/26/11-40-40.868/J55875_1.zarr,13377208320,12.5 GiB,https://images.jax.org/webclient/?show=image-183795
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2084/whitej_205/2021-01/26/11-24-39.698/J97561_5.zarr,9124577280,8.5 GiB,https://images.jax.org/webclient/?show=image-179812
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1496/whitej_205/2020-08/18/14-00-52.560/KOMP_C9229_3.zarr,11329044480,10.6 GiB,https://images.jax.org/webclient/?show=image-169273
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1525/whitej_205/2020-08/18/14-59-59.623/KOMP_C9261_8.zarr,8338636800,7.8 GiB,https://images.jax.org/webclient/?show=image-165563
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1508/whitej_205/2020-08/18/14-27-24.824/KOMP_K903_5.zarr,15246950400,14.2 GiB,https://images.jax.org/webclient/?show=image-170064
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2060/whitej_205/2021-01/05/12-47-14.183/X43852_3.zarr,15341322240,14.3 GiB,https://images.jax.org/webclient/?show=image-178521
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1562/whitej_205/2020-08/18/16-14-49.601/KOMP_K20614_9.zarr,8807546880,8.2 GiB,https://images.jax.org/webclient/?show=image-167469
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1503/whitej_205/2020-08/18/14-16-58.733/KOMP_C11139_3.zarr,7844659200,7.3 GiB,https://images.jax.org/webclient/?show=image-165069
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1586/whitej_205/2020-08/18/17-06-51.511/KOMP_C10075_6.zarr,9391472640,8.7 GiB,https://images.jax.org/webclient/?show=image-174340
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2904/whitej_205/2021-07/26/12-12-58.747/X31340_9.zarr,14014218240,13.1 GiB,https://images.jax.org/webclient/?show=image-184171
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1941/whitej_205/2021-08/19/15-14-56.791/R6617_3.zarr,11766988800,11.0 GiB,https://images.jax.org/webclient/?show=image-177012
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1528/whitej_205/2021-01/26/10-47-08.383/J91682_2.zarr,9196830720,8.6 GiB,https://images.jax.org/webclient/?show=image-185599
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2040/whitej_205/2021-01/05/12-38-19.743/X18645_6.zarr,9555148800,8.9 GiB,https://images.jax.org/webclient/?show=image-166678
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1604/whitej_205/2020-08/18/17-38-24.833/KOMP_K19123_7.zarr,8304721920,7.7 GiB,https://images.jax.org/webclient/?show=image-175714
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2904/whitej_205/2021-07/26/12-34-38.590/X70507_3.zarr,16139059200,15.0 GiB,https://images.jax.org/webclient/?show=image-184274
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1505/whitej_205/2020-08/18/14-21-30.635/KOMP_K17864_5.zarr,15187968000,14.1 GiB,https://images.jax.org/webclient/?show=image-165207
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1548/whitej_205/2020-08/18/15-53-39.912/KOMP_K3642_9.zarr,14068776960,13.1 GiB,https://images.jax.org/webclient/?show=image-172228
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1576/whitej_205/2020-08/18/16-40-01.534/KOMP_K23071_5.zarr,12427591680,11.6 GiB,https://images.jax.org/webclient/?show=image-173280
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1528/whitej_205/2020-08/18/15-19-26.264/KOMP_C10230-3.zarr,10063872000,9.4 GiB,https://images.jax.org/webclient/?show=image-186407
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1539/whitej_205/2020-08/18/15-36-15.763/KOMP_K21021_4.zarr,10899947520,10.2 GiB,https://images.jax.org/webclient/?show=image-171818
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2707/whitej_205/2021-06/14/17-30-37.130/X84938_5.zarr,12510167040,11.7 GiB,https://images.jax.org/webclient/?show=image-180677
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1574/whitej_205/2020-08/18/16-35-22.568/KOMP_A30121-2.zarr,5060689920,4.7 GiB,https://images.jax.org/webclient/?show=image-173109
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2956/whitej_205/2021-08/19/15-06-35.579/R42259_3.zarr,13912473600,13.0 GiB,https://images.jax.org/webclient/?show=image-185194
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1587/whitej_205/2020-12/16/14-48-24.588/K1410_10.zarr,16544563200,15.4 GiB,https://images.jax.org/webclient/?show=image-174536
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1518/whitej_205/2020-08/18/14-44-55.950/KOMP_C9372_6.zarr,9861857280,9.2 GiB,https://images.jax.org/webclient/?show=image-170539
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1844/whitej_205/2021-05/05/08-03-42.973/K81247_1.zarr,10852761600,10.1 GiB,https://images.jax.org/webclient/?show=image-176606
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2903/whitej_205/2021-08/19/15-18-10.737/X17346_1.zarr,14312079360,13.3 GiB,https://images.jax.org/webclient/?show=image-184110
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2040/whitej_205/2020-12/16/15-18-08.248/X18638_8.zarr,15867740160,14.8 GiB,https://images.jax.org/webclient/?show=image-166733
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1496/whitej_205/2021-07/07/09-51-26.922/R29625_7.zarr,14848819200,13.8 GiB,https://images.jax.org/webclient/?show=image-169421
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1602/whitej_205/2020-08/18/17-34-13.246/KOMP_C10681_4.zarr,13498122240,12.6 GiB,https://images.jax.org/webclient/?show=image-175548
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1546/whitej_205/2020-08/18/15-49-57.646/KOMP_C10411_3.zarr,12150374400,11.3 GiB,https://images.jax.org/webclient/?show=image-166943
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2817/whitej_205/2021-07/07/10-05-33.050/R33486_2.zarr,8174960640,7.6 GiB,https://images.jax.org/webclient/?show=image-182593
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2709/whitej_205/2021-07/07/10-51-59.220/X46305_10.zarr,9493217280,8.8 GiB,https://images.jax.org/webclient/?show=image-181095
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1530/whitej_205/2020-08/18/15-22-51.009/KOMP_K3681_5.zarr,11463229440,10.7 GiB,https://images.jax.org/webclient/?show=image-171303
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2710/whitej_205/2021-06/14/17-10-43.071/X49996_1.zarr,11789107200,11.0 GiB,https://images.jax.org/webclient/?show=image-181197
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1493/whitej_205/2020-08/18/13-56-24.214/KOMP_C9951_3.zarr,11426365440,10.6 GiB,https://images.jax.org/webclient/?show=image-164654
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2076/whitej_205/2021-01/26/10-57-49.317/J68849_1.zarr,13819576320,12.9 GiB,https://images.jax.org/webclient/?show=image-178921
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1568/whitej_205/2020-08/18/16-24-09.675/KOMP_K4294_1.zarr,14536212480,13.5 GiB,https://images.jax.org/webclient/?show=image-167855
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2085/whitej_205/2021-01/26/10-08-45.136/X12870_10.zarr,8823767040,8.2 GiB,https://images.jax.org/webclient/?show=image-179929
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2007/whitej_205/2020-12/02/16-22-03.489/K12131_10.zarr,11870208000,11.1 GiB,https://images.jax.org/webclient/?show=image-165704
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2086/whitej_205/2021-01/26/11-50-50.551/X36608_9.zarr,15488778240,14.4 GiB,https://images.jax.org/webclient/?show=image-180030
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2824/whitej_205/2021-07/07/11-01-30.199/X858_7.zarr,14438891520,13.4 GiB,https://images.jax.org/webclient/?show=image-183340
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1511/whitej_205/2020-08/18/14-33-20.383/KOMP_K680_3.zarr,11324620800,10.5 GiB,https://images.jax.org/webclient/?show=image-170271
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1591/whitej_205/2020-08/18/17-14-38.703/K93449_7.zarr,12617809920,11.8 GiB,https://images.jax.org/webclient/?show=image-174782
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1561/whitej_205/2020-08/18/16-14-12.477/KOMP_K4420_4.zarr,14084997120,13.1 GiB,https://images.jax.org/webclient/?show=image-167446
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2060/whitej_205/2021-01/05/12-54-32.812/X43869_9.zarr,10969251840,10.2 GiB,https://images.jax.org/webclient/?show=image-178510
